Game Title,Console,Genre,Publisher,Developer,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,0.21,2.22,1.02,2009,568,7
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,Infinity Ward,9.5,6.72,3.13,0.28,2.27,1.04,2007,1044,28
FIFA Soccer 12,PS3,Sports,EA Sports,EA Canada,9.2,6.65,0.84,0.11,4.33,1.37,2011,540,292
FIFA 14,PS3,Sports,EA Sports,EA Canada,7.101890450799806,6.61,0.79,0.07,4.77,0.98,2013,540,292
Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,0.17,2.58,1.0,2011,93,22
Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,0.09,2.03,0.6,2010,93,22
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,0.16,2.61,1.08,2012,1012,172
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,0.25,2.68,0.99,2011,113,11
Minecraft,PS4,Misc,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,0.35,3.13,0.96,2014,568,3
FIFA 15,PS4,Sports,EA Sports,EA Canada,8.1,6.32,0.83,0.05,4.49,0.94,2014,540,292
Driver,PS,Action,GT Interactive,Reflections Interactive,8.5,6.27,3.11,0.02,2.8,0.33,1999,26,12
Call of Duty: WWII,XOne,Shooter,Activision,Sledgehammer Games,7.101890450799806,6.23,3.75,0.0,1.91,0.57,2017,1044,6
Minecraft,PS3,Misc,Sony Computer Entertainment America,Mojang,7.101890450799806,6.0600000000000005,2.21,0.0,2.86,0.99,2014,19,3
Red Dead Redemption 2,XOne,Action-Adventure,Rockstar Games,Rockstar Games,7.101890450799806,5.77,3.76,0.0,1.47,0.54,2018,93,2
Destiny,PS4,Shooter,Activision,Bungie,7.101890450799806,5.76,2.53,0.16,2.13,0.94,2014,1044,16
Tekken 2,PS,Fighting,Namco,Namco,9.1,5.74,2.26,1.36,1.89,0.23,1996,175,114
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,Traveller's Tales,8.0,5.66,3.57,0.0,1.57,0.52,2007,138,152
Cooking Mama,DS,Simulation,Majesco,Office Create,6.6,5.66,3.09,0.07,1.92,0.58,2006,227,5
Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,9.0,5.57,2.54,0.21,1.95,0.86,2009,1012,172
Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,0.07,1.64,0.56,2007,1012,172
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,Rocksteady Studios,9.6,5.54,2.72,0.11,1.89,0.82,2011,126,12
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.2,5.5,2.99,0.1,1.9,0.51,2009,92,5
Call of Duty: World at War,PS3,Shooter,Activision,Treyarch,8.4,5.43,2.75,0.0,1.84,0.84,2008,1044,56
Minecraft,XOne,Misc,Microsoft Studios,Mojang,7.101890450799806,5.43,3.23,0.0,1.71,0.49,2014,41,3
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,Traveller's Tales,6.9,5.42,2.07,0.24,2.29,0.82,2001,16,152
Final Fantasy XIII,PS3,Role-Playing,Square Enix,Square Enix,8.0,5.359999999999999,1.75,1.87,1.23,0.51,2010,209,105
Assassin's Creed III,X360,Action-Adventure,Ubisoft,Ubisoft Montreal,7.101890450799806,5.319999999999999,3.13,0.03,1.71,0.45,2012,1012,172
Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,9.1,5.3,3.14,0.08,1.55,0.52,2009,1012,172
Tomb Raider II,PS,Adventure,Eidos Interactive,Core Design Ltd.,7.6,5.24,2.3,0.2,2.46,0.28,1997,209,24
Madden NFL 2004,PS2,Sports,EA Sports,EA Tiburon,9.5,5.239999999999999,4.26,0.01,0.26,0.71,2003,540,193
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,Sledgehammer Games,8.3,5.23,3.25,0.01,1.49,0.48,2014,1044,6
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,EA Los Angeles,5.9,5.14,1.98,0.13,2.23,0.8,2003,843,33
Battlefield 1,XOne,Shooter,Electronic Arts,EA DICE,9.3,5.130000000000001,3.37,0.02,1.26,0.48,2016,843,25
Microsoft Flight Simulator,PC,Simulation,Microsoft,Microsoft,7.0,5.12,3.22,0.0,1.69,0.2,1996,38,3
Guitar Hero II,PS2,Misc,RedOctane,Harmonix Music Systems,9.2,5.12,3.81,0.0,0.63,0.68,2006,8,62
FIFA 13,X360,Sports,EA Sports,EA Canada,7.101890450799806,5.12,1.1,0.03,3.49,0.5,2012,540,292
Mario & Sonic at the Olympic Games,DS,Sports,Sega,Sega,7.0,5.1,1.63,0.44,2.46,0.57,2008,640,154
Fable III,X360,Role-Playing,Microsoft Game Studios,Lionhead Studios,7.8,5.1,3.59,0.05,1.09,0.37,2010,92,8
Resident Evil 5,PS3,Action,Capcom,Capcom,8.6,5.1,1.96,1.08,1.42,0.64,2009,437,294
FIFA Soccer 11,PS3,Sports,EA Sports,EA Canada,8.7,5.08,0.61,0.06,3.28,1.12,2010,540,292
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,8.4,5.08,1.7,0.16,2.03,1.19,2006,93,10
Final Fantasy XV,PS4,Role-Playing,Square Enix,Square Enix,8.1,5.07,1.81,1.05,1.53,0.68,2016,209,105
Fallout 4,XOne,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.4,5.03,2.94,0.02,1.62,0.45,2015,113,11
Tony Hawk's Pro Skater,PS,Sports,Activision,Neversoft Entertainment,9.6,5.0200000000000005,3.42,0.02,1.38,0.2,1999,1044,52
Warzone 2100,PS,Strategy,Eidos Interactive,Pumpkin Studios,7.101890450799806,5.01,2.79,0.0,1.89,0.33,1999,209,1
Guitar Hero III: Legends of Rock,PS2,Misc,RedOctane,BudCat Creations,8.2,4.99,3.49,0.01,0.01,1.48,2007,8,15
