Sales,SVD_1,SVD_2
1.0,2844.6915731770555,-2.1661893636358163
0.9537401574803152,2845.399378859238,-2.3401304499057023
0.7942913385826774,2829.8414072619835,-2.3555973450921073
0.7805118110236222,2844.690797843024,-2.6149220462181093
0.7421259842519686,2846.1072632155315,-2.399483136411582
0.7288385826771656,2843.2752856502943,-2.5890585231697583
0.7249015748031498,2842.5673322384973,-2.603160978306514
0.6855314960629922,2848.2311578580634,-2.5045956205313358
0.6815944881889765,2843.983194321236,-2.6247250380195886
0.6786417322834647,2843.9834981818685,-2.200637295826627
0.6653543307086616,2834.7968343688985,-2.624652072711838
0.6589566929133861,2847.5231726390007,-2.370831714159903
0.6564960629921262,2843.275463097354,-2.296987141981685
0.6441929133858268,2829.133390627659,-2.412388101209677
0.6230314960629922,2842.5675527855806,-2.2934431900335897
0.5802165354330711,2847.5229384436416,-2.503680925278719
0.5452755905511812,2834.089027448966,-2.540628851781975
0.5378937007874016,2846.814728656676,-2.5097474088802683
0.5221456692913387,2834.797057768814,-2.3219558730356984
0.5201771653543309,2834.0892477376656,-2.247690271878699
0.5123031496062993,2844.6907346233234,-2.637638800768631
0.4980314960629922,2844.6913806306748,-2.2891204826298726
0.4901574803149607,2842.56748523087,-2.5929637414989855
0.4896653543307088,2843.9829041472954,-2.6251431209115355
0.4625984251968505,2833.380990337672,-2.544517817459046
0.4581692913385828,2848.2309486432027,-2.1467339249908437
0.4498031496062993,2848.230456207775,-2.5152238940846665
0.4365157480314962,2843.2754251907522,-2.538031035633504
0.4286417322834647,2845.3991396085953,-2.6422779523605926
0.4173228346456694,2846.8151517023744,-2.4419139395605116
0.4173228346456694,2846.107399933561,-2.323422204401607
0.4040354330708662,2846.106744519932,-2.5323918013968676
0.3946850393700788,2846.106851244922,-2.376125640890535
0.3937007874015749,2843.982503633326,-2.4562640987129205
0.391732283464567,2834.7965125847923,-2.6143423951497726
0.3794291338582677,2831.9652660625225,-2.334628696061135
0.3705708661417323,2845.399174160261,-2.4802894119013783
0.3686023622047245,2834.0888043690343,-2.6803909610348784
0.3622047244094489,2846.1066698488744,-2.642487535859753
0.3612204724409449,2843.275266758476,-2.5923200941037585
0.3567913385826772,2846.815298886048,-2.2639458453367785
0.3548228346456694,2843.275560277394,-2.184375914042268
0.3538385826771654,2830.5490778391827,-2.5407999418525677
0.3390748031496063,2831.257016614699,-2.5338978257559055
0.3385826771653544,2843.9824295035187,-2.646514816859208
0.3361220472440945,2829.841240169951,-2.4032917300245393
0.3312007874015749,2834.79698606553,-2.357081831308531
0.3302165354330709,2833.3811924753877,-2.2607860194508222
0.3267716535433072,2843.274989087031,-2.4567211609728097
0.3248031496062993,2844.6903676211127,-2.5022628385436527
0.3228346456692914,2843.2755034465185,-2.39185917590901
0.3193897637795276,2842.567465164048,-2.5187072033497344
0.3193897637795276,2843.9830530756703,-2.40413419736874
0.3188976377952757,2843.2756129818813,-2.2589170960077625
0.3110236220472441,2845.3994719108687,-2.1067191520672135
0.3105314960629922,2845.398714788357,-2.5395644345247135
0.3080708661417323,2820.6546693658397,-2.5972625066416257
0.3061023622047245,2847.5225494856286,-2.669817948131926
0.297736220472441,2845.3987184669154,-2.6335569798284113
0.2834645669291339,2848.2306221387958,-2.663570064312777
0.2829724409448819,2845.3988501783524,-2.391547701622553
0.281988188976378,2818.532371921954,-0.32365080855399375
0.2780511811023622,2833.380647571576,-2.648674869434848
0.2780511811023622,2832.6725105839755,-2.5234888248906118
0.2736220472440945,2834.7967601248906,-2.284505085260557
0.2726377952755906,2833.3806311433236,-2.533937739521265
0.2721456692913386,2843.275476510966,-2.4556372501796266
0.2701771653543308,2834.7970059057666,-2.4871382424409743
0.2667322834645669,2834.0887814511507,-2.667024195588936
0.2667322834645669,2845.3987486276346,-2.6517721058761063
0.266240157480315,2829.1328334950463,-2.181446939813606
0.2632874015748032,2842.5698067253547,0.7469738410329567
0.2613188976377953,2843.982475829836,-2.5929243895311807
0.2603346456692914,2834.7965886290053,-2.5141182221667826
0.2573818897637795,2819.2389065768502,-2.248640736523035
0.2573818897637795,2830.548915672038,-2.653410109425976
0.2568897637795276,2845.3990725594476,-2.659080315890383
0.2524606299212599,2830.5487171493187,-2.3907038959458107
0.251968503937008,2846.815092730231,-2.6420400798040253
0.2514763779527559,2818.530401241008,-2.6312856823719115
0.2514763779527559,2832.6731115333228,-2.669452612680751
0.2514763779527559,2843.98237500191,-2.5543050982643
0.250492125984252,2834.0887519158464,-1.7818340036016518
0.250492125984252,2842.567451190894,-2.5602633029908475
0.250492125984252,2834.798176718676,-0.5942543817992795
0.2495078740157481,2842.5669835028857,-2.50083385109092
0.2495078740157481,2832.673204154831,-2.3293811499458137
0.2490157480314961,2846.8164254840226,-0.6312765341171006
0.2470472440944882,2846.1072024461328,-2.60912781525251
0.2465551181102362,2820.654704723838,-2.622738630179913
0.2460629921259843,2820.6541278191976,-2.632649255789287
0.2450787401574803,2833.381144314212,-2.67039759301656
0.2440944881889764,2833.3809884571774,-2.418961166014447
