Game Title,Console,Genre,Publisher,Developer,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq,Decade,NA Share,EU Share,JP Share,Other Share,Is Recent,Game Quality,Game Quality Encoded
Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,0.9333333333333332,1.0,0.6526639344262295,0.4647887323943662,1.0,1.0,2013,0.0882070949185043,0.047945205479452,2010,0.6526639344262295,1.0,0.4647887323943662,1.0,0,High,2
Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,0.9666666666666666,0.9537401574803152,0.6209016393442622,0.2816901408450704,0.9857868020304568,0.9679487179487178,2014,0.0882070949185043,0.047945205479452,2010,0.6510176115312387,1.0336010225623775,0.2953531301327053,1.01489772697203,0,High,2
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,0.9555555555555556,0.7942913385826774,0.8616803278688525,0.2206572769953051,0.5573604060913706,0.5705128205128205,2002,0.0882070949185043,0.047945205479452,2000,1.0848416519389763,0.7017077727246993,0.277803957158897,0.7182664506084577,0,High,2
Grand Theft Auto V,X360,Action,Rockstar Games,Rockstar North,0.6779878278666451,0.7805118110236222,0.9282786885245904,0.028169014084507,0.5411167512690356,0.455128205128205,2013,0.0882070949185043,0.047945205479452,2010,1.1893204887023754,0.6932845136057252,0.0360904392305915,0.5831150774404239,0,Medium,1
Call of Duty: Black Ops 3,PS4,Shooter,Activision,Treyarch,0.7888888888888888,0.7421259842519686,0.6331967213114754,0.1924882629107981,0.6142131979695431,0.7820512820512819,2015,1.0,0.1255707762557077,2010,0.8532199852154627,0.8276400651685089,0.2593741049302,1.0537985445147249,1,High,2
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,Infinity Ward,0.8555555555555554,0.7288385826771656,0.9293032786885248,0.0610328638497652,0.4355329949238579,0.4262820512820512,2011,1.0,0.0616438356164383,2010,1.275046767248536,0.5975712664991755,0.0837398915210822,0.5848785470662577,0,High,2
Call of Duty: Black Ops,X360,Shooter,Activision,Treyarch,0.8666666666666667,0.7249015748031498,1.0,0.0516431924882629,0.3786802030456853,0.3653846153846153,2010,1.0,0.1255707762557077,2010,1.3794976238968089,0.522388440318284,0.0712416613280042,0.5040472087315262,0,High,2
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,Rockstar Games,0.977777777777778,0.6855314960629922,0.5389344262295082,0.0985915492957746,0.6304568527918781,0.7243589743589742,2018,0.0882070949185043,0.002283105022831,2010,0.7861556023678108,0.9196613961759484,0.1438176799490408,1.0566385038746844,1,High,2
Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch,0.8222222222222222,0.6815944881889765,0.8473360655737705,0.0328638497652582,0.4385786802030457,0.3846153846153846,2012,1.0,0.1255707762557077,2010,1.2431674261703258,0.6434598398358041,0.0482161319299672,0.564287697861705,0,High,2
Call of Duty: Black Ops II,PS3,Shooter,Activision,Treyarch,0.7777777777777777,0.6786417322834647,0.5112704918032788,0.3051643192488263,0.5969543147208122,0.7307692307692306,2012,1.0,0.1255707762557077,2010,0.7533731974940263,0.8796310134247209,0.449669250698778,1.0768115133597362,0,High,2
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,Infinity Ward,0.9444444444444444,0.6653543307086616,0.8749999999999999,0.0375586854460093,0.3685279187817258,0.4102564102564102,2009,1.0,0.0616438356164383,2000,1.3150887573964491,0.5538821974589251,0.0564491485401559,0.6165983917463205,0,High,2
Call of Duty: WWII,PS4,Shooter,Activision,Sledgehammer Games,0.7888888888888888,0.6589566929133861,0.478483606557377,0.1877934272300469,0.6304568527918781,0.6794871794871795,2017,1.0,0.0114155251141552,2010,0.7261229936703433,0.956750055917174,0.2849859926299142,1.0311560483330455,1,High,2
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,Infinity Ward,0.8666666666666667,0.6564960629921262,0.5676229508196722,0.2300469483568075,0.5868020304568529,0.4935897435897435,2011,1.0,0.0616438356164383,2010,0.8646250645169217,0.8938393747288791,0.3504163411252119,0.751854841809864,0,High,2
Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,0.9444444444444444,0.6441929133858268,0.716188524590164,0.1408450704225352,0.4578680203045685,0.4166666666666666,2001,0.0882070949185043,0.0159817351598173,2000,1.1117609487908426,0.7107622744529283,0.2186380313969377,0.6468041762159407,0,High,2
Call of Duty: Black Ops,PS3,Shooter,Activision,Treyarch,0.8555555555555554,0.6230314960629922,0.6157786885245902,0.2253521126760563,0.4467005076142132,0.5705128205128205,2010,1.0,0.1255707762557077,2010,0.9883588428767512,0.7169790138010119,0.3617026010724694,0.9157046218657592,0,High,2
FIFA 18,PS4,Sports,EA Sports,EA Vancouver,0.8111111111111111,0.5802165354330711,0.1301229508196721,0.0704225352112676,0.8771573604060914,0.5544871794871794,2017,0.5167785234899328,0.0410958904109589,2010,0.2242661883507833,1.5117758747626608,0.1213728511868496,0.9556555968769704,1,High,2
Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,1.0,0.5452755905511812,0.6967213114754098,0.0657276995305164,0.315736040609137,0.3333333333333333,2008,0.0882070949185043,0.047945205479452,2000,1.2777416109368525,0.579039381333724,0.1205403298249181,0.6113116726835136,0,High,2
FIFA 17,PS4,Sports,Electronic Arts,EA Canada,0.8777777777777778,0.5378937007874016,0.1290983606557377,0.056338028169014,0.8071065989847716,0.516025641025641,2016,0.8072866730584851,0.6643835616438356,2010,0.2400071993160649,1.5004946103724206,0.1047382188832904,0.9593450160696272,1,High,2
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,Infinity Ward,0.9444444444444444,0.5221456692913387,0.5112704918032788,0.1784037558685446,0.3715736040609137,0.5096153846153846,2009,1.0,0.0616438356164383,2000,0.9791721388730088,0.7116282407651051,0.3416742996464492,0.9760023200174,0,High,2
Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,1.0,0.5201771653543309,0.4907786885245901,0.2065727699530516,0.3786802030456853,0.5192307692307693,2008,0.0882070949185043,0.047945205479452,2000,0.943483722877925,0.7279831339534837,0.3971200270052987,0.9981806273197,0,High,2
Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward,0.6555555555555557,0.5123031496062993,0.6926229508196722,0.0187793427230046,0.2680203045685279,0.314102564102564,2013,1.0,0.0616438356164383,2010,1.3519787089967086,0.5231673956611418,0.0366566997244431,0.613118549717973,0,Medium,1
Call of Duty: Ghosts,PS3,Shooter,Activision,Infinity Ward,0.7222222222222221,0.4980314960629922,0.4211065573770492,0.1830985915492957,0.4071065989847715,0.5192307692307693,2013,1.0,0.0616438356164383,2010,0.8455420203460118,0.8174314319536122,0.3676446027946332,1.0425661295226512,0,High,2
Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie,0.9222222222222224,0.4901574803149607,0.7254098360655737,0.0375586854460093,0.2040609137055837,0.2564102564102564,2010,0.087248322147651,0.0342465753424657,2010,1.479952597274343,0.4163170448290623,0.0766257518336253,0.5231181134795592,0,High,2
Halo 4,X360,Shooter,Microsoft Studios,343 Industries,0.6779878278666451,0.4896653543307088,0.6885245901639344,0.0187793427230046,0.2395939086294416,0.2660256410256409,2012,0.0383509108341323,0.0045662100456621,2010,1.4061125298624264,0.4893013289799248,0.038351381319744,0.54328050508955,0,Medium,1
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,Infinity Ward,0.9555555555555556,0.4625984251968505,0.6127049180327869,0.0610328638497652,0.2426395939086294,0.2916666666666666,2007,1.0,0.0616438356164383,2000,1.3244855249389604,0.5245145264067391,0.1319348716411945,0.6304964539007089,0,High,2
Call of Duty: Black Ops IIII,PS4,Shooter,Activision,Treyarch,0.6779878278666451,0.4581692913385828,0.4149590163934426,0.2347417840375587,0.332994923857868,0.4775641025641025,2018,1.0,0.1255707762557077,2010,0.90568928175239,0.7267945062075054,0.5123472665567338,1.042331102481478,1,Medium,1
FIFA 19,PS4,Sports,Electronic Arts,EA Sports,0.6779878278666451,0.4498031496062993,0.0860655737704918,0.0469483568075117,0.6974619289340102,0.4294871794871794,2018,0.8072866730584851,0.1004566210045662,2010,0.1913405316210495,1.550593697586333,0.104375340298538,0.9548336419233572,1,Medium,1
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,0.9222222222222224,0.4365157480314962,0.5225409836065573,0.0469483568075117,0.2873096446700507,0.2724358974358974,2011,0.1073825503355704,0.0228310502283105,2010,1.1970724675180655,0.6581884982745693,0.1075524927089782,0.6241147052871966,0,High,2
Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,0.8888888888888888,0.4286417322834647,0.4815573770491803,0.0046948356807511,0.3299492385786802,0.2435897435897435,2014,0.0882070949185043,0.047945205479452,2010,1.1234495868701884,0.7697552844912491,0.0109528198660002,0.5682828461244072,0,High,2
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,Infinity Ward,0.7666666666666666,0.4173228346456694,0.3186475409836065,0.0892018779342723,0.3888324873096446,0.4358974358974359,2016,1.0,0.0616438356164383,2010,0.7635516548097738,0.9317306771382048,0.2137478961821241,1.0445089501693272,1,High,2
Fallout 4,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,0.8444444444444443,0.4173228346456694,0.298155737704918,0.1267605633802817,0.4030456852791878,0.4294871794871794,2015,0.1073825503355704,0.0228310502283105,2010,0.7144486545004637,0.9657887175557894,0.3037470103640711,1.0291485244315428,1,High,2
FIFA 16,PS4,Sports,EA Sports,EA Canada,0.8333333333333333,0.4040354330708662,0.117827868852459,0.0328638497652582,0.5857868020304569,0.3942307692307691,2015,0.5167785234899328,0.6643835616438356,2010,0.2916275633473771,1.4498401726259296,0.0813390288952553,0.9757331584371776,1,High,2
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,EA DICE,0.6777777777777776,0.3946850393700788,0.3391393442622951,0.107981220657277,0.3238578680203046,0.4166666666666666,2015,0.8072866730584851,0.0547945205479452,2010,0.8592657700012263,0.8205476157322429,0.2735883296453701,1.0556940980881129,1,Medium,1
FIFA 13,PS3,Sports,EA Sports,EA Canada,0.6779878278666451,0.3937007874015749,0.1096311475409836,0.0610328638497652,0.5208121827411167,0.5384615384615384,2012,0.5167785234899328,0.6643835616438356,2010,0.2784631147540983,1.3228629441624362,0.1550234741784036,1.367692307692307,0,Medium,1
The Sims 3,PC,Simulation,Electronic Arts,EA Redwood Shores,0.8333333333333333,0.391732283464567,0.103483606557377,0.0,0.6558375634517767,0.1602564102564102,2009,0.8072866730584851,0.1301369863013698,2000,0.2641692066891834,1.6741984031834296,0.0,0.4090967658806852,0,High,2
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,0.8666666666666667,0.3794291338582677,0.2971311475409836,0.1126760563380281,0.2873096446700507,0.5576923076923076,2005,0.0882070949185043,0.0205479452054794,2000,0.7831005081754586,0.7572155615687978,0.2969620576898484,1.469819415344707,0,High,2
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,Sledgehammer Games,0.8333333333333333,0.3705708661417323,0.290983606557377,0.0657276995305164,0.3390862944162436,0.3910256410256409,2014,1.0,0.0114155251141552,2010,0.7852306620512484,0.9150376497394516,0.1773687721726551,1.05519801137331,0,High,2
Call of Duty: World at War,X360,Shooter,Activision,Treyarch,0.8333333333333333,0.3686023622047245,0.5,0.0,0.1939086294416243,0.2275641025641025,2008,1.0,0.1255707762557077,2000,1.356475300400534,0.5260645327441662,0.0,0.6173701687720377,0,High,2
Call of Duty: Black Ops 3,XOne,Shooter,Activision,Treyarch,0.6779878278666451,0.3622047244094489,0.4743852459016393,0.0093896713615023,0.2071065989847715,0.2179487179487179,2015,1.0,0.1255707762557077,2010,1.309715787598004,0.5717943058927386,0.025923657889365,0.6017279821627645,1,Medium,1
Battlefield 3,X360,Shooter,Electronic Arts,Dice,0.8333333333333333,0.3612204724409449,0.4579918032786885,0.028169014084507,0.2152284263959391,0.2211538461538461,2011,0.8072866730584851,0.0045662100456621,2010,1.2679010139813285,0.5958367335647795,0.0779828836780902,0.6122406204150072,0,High,2
Battlefield 1,PS4,Shooter,Electronic Arts,EA DICE,0.8999999999999999,0.3567913385826772,0.2254098360655738,0.136150234741784,0.3705583756345177,0.358974358974359,2016,0.8072866730584851,0.0547945205479452,2010,0.6317693612210289,1.0385856817783998,0.3815962441314552,1.006118479221927,1,High,2
Battlefield 3,PS3,Shooter,Electronic Arts,Dice,0.8333333333333333,0.3548228346456694,0.2930327868852459,0.164319248826291,0.2984771573604061,0.3429487179487179,2011,0.8072866730584851,0.0045662100456621,2010,0.8258566199040493,0.8412005322556796,0.4631022380236106,0.966535083039937,0,High,2
Need for Speed Underground,PS2,Racing,Electronic Arts,EA Black Box,0.8444444444444443,0.3538385826771654,0.3350409836065574,0.0375586854460093,0.2873096446700507,0.3269230769230769,2003,0.8072866730584851,0.1073059360730593,2000,0.9468752137531634,0.8119794130313532,0.1061463822340624,0.923932812667166,0,High,2
Need for Speed Underground 2,PS2,Racing,Electronic Arts,EA Black Box,0.8111111111111111,0.3390748031496063,0.2776639344262295,0.0375586854460093,0.3065989847715736,0.3493589743589743,2004,0.8072866730584851,0.1073059360730593,2000,0.8188869590044968,0.9042222598778484,0.1107681405316268,1.0303300956421415,0,High,2
Just Dance 4,Wii,Music,Ubisoft,Ubisoft,0.6779878278666451,0.3385826771653544,0.4149590163934426,0.0,0.2243654822335025,0.1987179487179487,2012,0.969319271332694,0.4452054794520548,2010,1.2255766298131907,0.6626608428756933,0.0,0.5869111508646391,0,Medium,1
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,EA Los Angeles,0.8888888888888888,0.3361220472440945,0.3002049180327869,0.0798122065727699,0.2791878172588832,0.3173076923076923,2002,0.8072866730584851,0.0730593607305936,2000,0.8931425965484964,0.8306144138653743,0.2374500787055174,0.9440252280662236,0,High,2
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,0.9444444444444444,0.3312007874015749,0.3360655737704918,0.0985915492957746,0.2253807106598984,0.3269230769230769,2009,0.5436241610738255,0.0136986301369863,2000,1.0146883297201177,0.6804956969701537,0.2976790908900653,0.9870842381986512,0,High,2
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,Infinity Ward,0.9444444444444444,0.3302165354330709,0.3206967213114754,0.1314553990610328,0.2304568527918781,0.3333333333333333,2007,1.0,0.0616438356164383,2000,0.9711709950892966,0.697896162254987,0.3980884812101619,1.009438648782911,0,High,2
FIFA Soccer 12,PS3,Sports,EA Sports,EA Canada,0.911111111111111,0.3267716535433072,0.0860655737704918,0.0516431924882629,0.4395939086294416,0.4391025641025641,2011,0.5167785234899328,0.6643835616438356,2010,0.2633813944301796,1.345263286649134,0.1580406131568527,1.3437596540006176,0,High,2
FIFA 14,PS3,Sports,EA Sports,EA Canada,0.6779878278666451,0.3248031496062993,0.0809426229508196,0.0328638497652582,0.4842639593908629,0.314102564102564,2013,0.5167785234899328,0.6643835616438356,2010,0.2492051664182808,1.490946008306414,0.1011808223075827,0.9670551670551664,0,Medium,1
Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,0.9444444444444444,0.3228346456692914,0.2889344262295082,0.0798122065727699,0.2619289340101522,0.3205128205128205,2011,0.0882070949185043,0.047945205479452,2010,0.8949920031987204,0.8113408443729104,0.2472231764571164,0.9928080050031268,0,High,2
Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,0.9444444444444444,0.3193897637795276,0.3862704918032787,0.0422535211267605,0.2060913705583756,0.1923076923076923,2010,0.0882070949185043,0.047945205479452,2010,1.2094016014549496,0.6452660477266859,0.1322945376418756,0.6021097546521273,0,High,2
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,0.8666666666666667,0.3193897637795276,0.2715163934426229,0.0751173708920187,0.2649746192893401,0.3461538461538461,2012,0.969319271332694,0.3904109589041096,2010,0.8501098790067946,0.8296277756485962,0.2351902891411124,1.0837975583738293,0,High,2
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,0.8888888888888888,0.3188976377952757,0.2633196721311475,0.1173708920187793,0.2720812182741117,0.3173076923076923,2011,0.1073825503355704,0.0228310502283105,2010,0.8257184780408819,0.8531929560694363,0.3680519329971596,0.9950142450142446,0,High,2
Minecraft,PS4,Misc,Sony Computer Entertainment,Mojang,0.9333333333333332,0.3110236220472441,0.1936475409836065,0.164319248826291,0.3177664974619289,0.3076923076923076,2014,0.5436241610738255,0.0045662100456621,2010,0.6226136127827349,1.021679624751012,0.5283175848338977,0.9892891918208372,0,High,2
FIFA 15,PS4,Sports,EA Sports,EA Canada,0.7888888888888888,0.3105314960629922,0.0850409836065573,0.0234741784037558,0.4558375634517767,0.3012820512820512,2014,0.5167785234899328,0.6643835616438356,2010,0.2738562261307835,1.4679269872171317,0.0755935507391945,0.970214149294973,0,High,2
Driver,PS,Action,GT Interactive,Reflections Interactive,0.8333333333333333,0.3080708661417323,0.3186475409836065,0.0093896713615023,0.2842639593908629,0.1057692307692307,1999,0.0239693192713326,0.0251141552511415,1990,1.0343319541193106,0.922722628565868,0.0304789332373365,0.343327598918653,0,High,2
Call of Duty: WWII,XOne,Shooter,Activision,Sledgehammer Games,0.6779878278666451,0.3061023622047245,0.3842213114754098,0.0,0.1939086294416243,0.1826923076923076,2017,1.0,0.0114155251141552,2010,1.2552053133730423,0.6334764228703866,0.0,0.596834034133069,1,Medium,1
Minecraft,PS3,Misc,Sony Computer Entertainment America,Mojang,0.6779878278666451,0.297736220472441,0.2264344262295082,0.0,0.2903553299492385,0.3173076923076923,2014,0.0172579098753595,0.0045662100456621,2010,0.760520254708034,0.9752099676972767,0.0,1.0657342657342654,0,Medium,1
