Game Title,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq,Console Freq,Genre Freq,Decade,NA Share,EU Share,JP Share,Other Share,Is Recent,Game Quality,Game Quality Encoded
Grand Theft Auto V,0.9333333333333333,1.0,0.6526639344262295,0.4647887323943662,1.0,1.0,2013,0.08820709491850431,0.04794520547945205,0.56265664160401,1.0,2010,0.3133300541072307,0.484505656665027,0.048696507624200684,0.15346778160354155,0,High,2
Grand Theft Auto V,0.9666666666666666,0.9537401574803149,0.6209016393442622,0.28169014084507044,0.9857868020304569,0.9679487179487178,2014,0.08820709491850431,0.04794520547945205,0.37886382623224724,1.0,2010,0.3125322331098504,0.5007735946364106,0.030943785456420833,0.1557503867973182,0,High,2
Grand Theft Auto: Vice City,0.9555555555555555,0.7942913385826772,0.8616803278688525,0.22065727699530516,0.5573604060913706,0.5705128205128205,2002,0.08820709491850431,0.04794520547945205,0.8872180451127819,1.0,2000,0.5207430340557275,0.339938080495356,0.029102167182662533,0.11021671826625386,0,High,2
Grand Theft Auto V,0.6779878278666451,0.780511811023622,0.9282786885245903,0.028169014084507043,0.5411167512690356,0.45512820512820507,2013,0.08820709491850431,0.04794520547945205,0.5434419381787802,1.0,2010,0.5708884688090737,0.3358538122243226,0.0037807183364839316,0.08947700063011971,0,High,2
Call of Duty: Black Ops 3,0.7888888888888888,0.7421259842519684,0.6331967213114754,0.19248826291079812,0.6142131979695431,0.7820512820512819,2015,1.0,0.12557077625570776,0.37886382623224724,0.5229034531360113,2010,0.4095427435387674,0.40092776673293573,0.027170311464546057,0.16169648774022533,1,High,2
Call of Duty: Modern Warfare 3,0.8555555555555554,0.7288385826771654,0.9293032786885247,0.06103286384976526,0.4355329949238579,0.42628205128205127,2011,1.0,0.06164383561643835,0.5434419381787802,0.5229034531360113,2010,0.6120107962213225,0.28947368421052627,0.008771929824561403,0.08974358974358973,0,High,2
Call of Duty: Black Ops,0.8666666666666667,0.7249015748031495,1.0,0.051643192488262914,0.3786802030456853,0.3653846153846153,2010,1.0,0.12557077625570776,0.5434419381787802,0.5229034531360113,2010,0.6621438263229308,0.2530529172320217,0.007462686567164179,0.0773405698778833,0,High,2
Red Dead Redemption 2,0.9777777777777779,0.685531496062992,0.5389344262295082,0.09859154929577464,0.6304568527918781,0.7243589743589742,2018,0.08820709491850431,0.00228310502283105,0.37886382623224724,0.09267089499647639,2010,0.37733142037302725,0.445480631276901,0.015064562410329985,0.16212338593974174,1,High,2
Call of Duty: Black Ops II,0.8222222222222222,0.6815944881889763,0.8473360655737705,0.03286384976525822,0.4385786802030457,0.3846153846153846,2012,1.0,0.12557077625570776,0.5434419381787802,0.5229034531360113,2010,0.5966810966810967,0.31168831168831174,0.005050505050505051,0.08658008658008658,0,High,2
Call of Duty: Black Ops II,0.7777777777777777,0.6786417322834646,0.5112704918032788,0.3051643192488263,0.5969543147208122,0.7307692307692306,2012,1.0,0.12557077625570776,0.56265664160401,0.5229034531360113,2010,0.3615942028985507,0.4260869565217391,0.04710144927536232,0.16521739130434782,0,High,2
Call of Duty: Modern Warfare 2,0.9444444444444444,0.6653543307086613,0.8749999999999999,0.03755868544600939,0.36852791878172586,0.41025641025641024,2009,1.0,0.06164383561643835,0.5434419381787802,0.5229034531360113,2000,0.6311899482631189,0.2682926829268293,0.005912786400591279,0.09460458240946046,0,High,2
Call of Duty: WWII,0.7888888888888888,0.6589566929133859,0.47848360655737704,0.18779342723004697,0.6304568527918781,0.6794871794871795,2017,1.0,0.01141552511415525,0.37886382623224724,0.5229034531360113,2010,0.3485074626865671,0.46343283582089545,0.029850746268656712,0.1582089552238806,1,High,2
Call of Duty: Modern Warfare 3,0.8666666666666667,0.656496062992126,0.5676229508196722,0.2300469483568075,0.5868020304568529,0.49358974358974356,2011,1.0,0.06164383561643835,0.56265664160401,0.5229034531360113,2010,0.41498127340823965,0.4329588014981273,0.03670411985018726,0.11535580524344569,0,High,2
Grand Theft Auto III,0.9444444444444444,0.6441929133858267,0.716188524590164,0.14084507042253522,0.4578680203045685,0.41666666666666663,2001,0.08820709491850431,0.01598173515981735,0.8872180451127819,1.0,2000,0.533587786259542,0.3442748091603053,0.022900763358778622,0.09923664122137404,0,High,2
